yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Saudi Arabia,Mauritius,91,Clocks and watches and parts thereof,9201,,,-20.2759451,57.5703566
2018,2018,Import,Saudi Arabia,Mexico,91,Clocks and watches and parts thereof,461061,,,23.6585116,-102.0077097
2018,2018,Import,Saudi Arabia,"Other Asia, nes",91,Clocks and watches and parts thereof,106138,,,,
2018,2018,Import,Saudi Arabia,Netherlands,91,Clocks and watches and parts thereof,21697,,,52.2434979,5.6343227
2018,2018,Import,Saudi Arabia,"Other Europe, nes",91,Clocks and watches and parts thereof,65333,,,,
2018,2018,Import,Saudi Arabia,Pakistan,91,Clocks and watches and parts thereof,2956,,,30.3308401,71.247499
2018,2018,Import,Saudi Arabia,Philippines,91,Clocks and watches and parts thereof,457404,,,12.7503486,122.7312101
2018,2018,Import,Saudi Arabia,Portugal,91,Clocks and watches and parts thereof,25433,,,39.6621648,-8.1353519
2018,2018,Import,Saudi Arabia,India,91,Clocks and watches and parts thereof,1476351,,,22.3511148,78.6677428
2018,2018,Import,Saudi Arabia,Singapore,91,Clocks and watches and parts thereof,2819,,,1.357107,103.8194992
2018,2018,Import,Saudi Arabia,Viet Nam,91,Clocks and watches and parts thereof,4977804,,,15.9266657,107.9650855
2018,2018,Import,Saudi Arabia,South Africa,91,Clocks and watches and parts thereof,12389,,,-28.8166236,24.991639
2018,2018,Import,Saudi Arabia,Spain,91,Clocks and watches and parts thereof,984979,,,39.3260685,-4.8379791
2018,2018,Import,Saudi Arabia,Eswatini,91,Clocks and watches and parts thereof,4019,,,,
2018,2018,Import,Saudi Arabia,Sweden,91,Clocks and watches and parts thereof,103880,,,59.6749712,14.5208584
2018,2018,Import,Saudi Arabia,Switzerland,91,Clocks and watches and parts thereof,378656063,,,46.7985624,8.2319736
2018,2018,Import,Saudi Arabia,Thailand,91,Clocks and watches and parts thereof,3102607,,,14.8971921,100.83273
2018,2018,Import,Saudi Arabia,United Arab Emirates,91,Clocks and watches and parts thereof,2666624,,,24.0002488,53.9994829
2018,2018,Import,Saudi Arabia,Tunisia,91,Clocks and watches and parts thereof,4224,,,33.8439408,9.400138
2018,2018,Import,Saudi Arabia,Turkey,91,Clocks and watches and parts thereof,235572,,,38.9597594,34.9249653
2018,2018,Import,Saudi Arabia,Egypt,91,Clocks and watches and parts thereof,6355,,,26.2540493,29.2675469
2018,2018,Import,Saudi Arabia,United Kingdom,91,Clocks and watches and parts thereof,614673,,,54.7023545,-3.2765753
2018,2018,Import,Saudi Arabia,USA,91,Clocks and watches and parts thereof,3016512,,,,
2019,2019,Import,Saudi Arabia,World,91,Clocks and watches and parts thereof,520841092,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,Argentina,91,Clocks and watches and parts thereof,22233,,,-34.9964963,-64.9672817
2019,2019,Import,Saudi Arabia,Austria,91,Clocks and watches and parts thereof,89949,,,47.59397,14.12456
2019,2019,Import,Saudi Arabia,Bahrain,91,Clocks and watches and parts thereof,9605,,,26.1551249,50.5344606
2019,2019,Import,Saudi Arabia,Belgium,91,Clocks and watches and parts thereof,17067,,,50.6402809,4.6667145
2019,2019,Import,Saudi Arabia,Bulgaria,91,Clocks and watches and parts thereof,4567,,,42.6073975,25.4856617
2019,2019,Import,Saudi Arabia,Belarus,91,Clocks and watches and parts thereof,62375,,,53.4250605,27.6971358
2019,2019,Import,Saudi Arabia,Canada,91,Clocks and watches and parts thereof,65757,,,61.0666922,-107.991707
2019,2019,Import,Saudi Arabia,Sri Lanka,91,Clocks and watches and parts thereof,32366,,,7.5554942,80.7137847
2019,2019,Import,Saudi Arabia,China,91,Clocks and watches and parts thereof,123723569,,,35.000074,104.999927
2019,2019,Import,Saudi Arabia,Czechia,91,Clocks and watches and parts thereof,35656,,,,
2019,2019,Import,Saudi Arabia,Denmark,91,Clocks and watches and parts thereof,10983,,,55.670249,10.3333283
2019,2019,Import,Saudi Arabia,Estonia,91,Clocks and watches and parts thereof,4536,,,58.7523778,25.3319078
2019,2019,Import,Saudi Arabia,Finland,91,Clocks and watches and parts thereof,9457,,,63.2467777,25.9209164
2019,2019,Import,Saudi Arabia,France,91,Clocks and watches and parts thereof,4377148,,,46.603354,1.8883335
2019,2019,Import,Saudi Arabia,Germany,91,Clocks and watches and parts thereof,3049984,,,51.1638175,10.4478313
2019,2019,Import,Saudi Arabia,Greece,91,Clocks and watches and parts thereof,3206,,,38.9953683,21.9877132
2019,2019,Import,Saudi Arabia,"China, Hong Kong SAR",91,Clocks and watches and parts thereof,1278715,,,22.350627,114.1849161
2019,2019,Import,Saudi Arabia,Hungary,91,Clocks and watches and parts thereof,38489,,,47.1817585,19.5060937
2019,2019,Import,Saudi Arabia,Indonesia,91,Clocks and watches and parts thereof,87480,,,-2.4833826,117.8902853
2019,2019,Import,Saudi Arabia,Ireland,91,Clocks and watches and parts thereof,9120,,,52.865196,-7.9794599
2019,2019,Import,Saudi Arabia,Italy,91,Clocks and watches and parts thereof,756948,,,42.6384261,12.674297
2019,2019,Import,Saudi Arabia,Japan,91,Clocks and watches and parts thereof,8364873,,,36.5748441,139.2394179
2019,2019,Import,Saudi Arabia,Rep. of Korea,91,Clocks and watches and parts thereof,2464758,,,,
2019,2019,Import,Saudi Arabia,Kuwait,91,Clocks and watches and parts thereof,41367,,,29.2733964,47.4979476
