yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,442118,,,37.977378106878206,73.97804075806764
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,20463,,,51.67568633314729,27.673469819741847
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,53811,,,,
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,15125,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,248,,,59.36075159783851,25.01346951967388
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Polynesia,Oceania,92,,,-5.109184731250752,167.40343615892436
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,380,,,10.528384761701911,103.08333472012376
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,85,,,25.499703063807168,75.5024015339642
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,59392,,,6.06272746187266,22.727528470146083
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,274742,,,26.42921218083572,52.86847103284948
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,27917,,,47.92172048214207,7.866753258497997
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2790766,,,,
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Afghanistan, Afghanistan,592,,,,
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,94140,,,,
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,297263,,,,
2009,2009,Import,Fmr Sudan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,204083,,,,
