yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,359
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,68
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Micronesia,Oceania,706
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2439
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,791
2012,2012,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,77936
