rtTitle,Subregion,rgDesc,TradeValue
Cyprus,Afghanistan,Export,354239
Cyprus,Afghanistan,Import,677374
Cyprus,Algeria,Export,12251162
Cyprus,Algeria,Import,17948222
Cyprus,Algeria,Re-Export,9439036
Cyprus,Armenia,Export,753688
Cyprus,Armenia,Import,11087
Cyprus,Armenia,Re-Export,289158
Cyprus,Azerbaijan,Export,18936156
Cyprus,Azerbaijan,Import,23427779
Cyprus,Azerbaijan,Re-Export,18296672
Cyprus,Bahrain,Export,5328444
Cyprus,Bahrain,Import,538517
Cyprus,Bahrain,Re-Export,1405629
Cyprus,Comoros,Export,54338
Cyprus,Djibouti,Export,239458
Cyprus,Djibouti,Re-Export,45860
Cyprus,Georgia,Export,592255
Cyprus,Georgia,Import,4829900
Cyprus,Georgia,Re-Export,132933
Cyprus,Iraq,Export,12851117
Cyprus,Iraq,Import,1504
Cyprus,Iraq,Re-Export,434166
Cyprus,Israel,Export,69524682
Cyprus,Israel,Import,550300657
Cyprus,Israel,Re-Export,21278512
Cyprus,Jordan,Export,9795293
Cyprus,Jordan,Import,1486297
Cyprus,Jordan,Re-Export,951130
Cyprus,Kuwait,Export,6593265
Cyprus,Kuwait,Import,1557151
Cyprus,Kuwait,Re-Export,1258445
Cyprus,Lebanon,Export,58806848
Cyprus,Lebanon,Import,21376331
Cyprus,Lebanon,Re-Export,25131909
Cyprus,Libya,Export,353191190
Cyprus,Libya,Import,1036261
Cyprus,Libya,Re-Export,1887360
Cyprus,Malta,Export,49681024
Cyprus,Malta,Import,32476026
Cyprus,Malta,Re-Export,42735400
Cyprus,Mauritania,Export,382647
Cyprus,Mauritania,Import,445935
Cyprus,Mauritania,Re-Export,9971
Cyprus,Morocco,Export,3287963
Cyprus,Morocco,Import,2593911
Cyprus,Morocco,Re-Export,2176307
Cyprus,Oman,Export,4864635
Cyprus,Oman,Import,703711
Cyprus,Oman,Re-Export,1268406
Cyprus,Pakistan,Export,3478771
Cyprus,Pakistan,Import,7135394
Cyprus,Pakistan,Re-Export,409941
Cyprus,Qatar,Export,9516618
Cyprus,Qatar,Import,1532721
Cyprus,Qatar,Re-Export,3298066
Cyprus,Saudi Arabia,Export,41825400
Cyprus,Saudi Arabia,Import,15750466
Cyprus,Saudi Arabia,Re-Export,932780
Cyprus,State of Palestine,Export,19400
Cyprus,State of Palestine,Import,26210
Cyprus,State of Palestine,Re-Export,19400
Cyprus,United Arab Emirates,Export,44762073
Cyprus,United Arab Emirates,Import,33007561
Cyprus,United Arab Emirates,Re-Export,31405900
Cyprus,Yemen,Export,1132746
