yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,7450025,25.62,42.35,-16.85099460447687,133.4130365630627
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,10908874,25.62,42.35,37.977378106878206,73.97804075806764
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,2070870,25.62,42.35,51.67568633314729,27.673469819741847
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,6207869,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,541385,25.62,42.35,17.925141963241547,-78.01492950057497
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,30876874,25.62,42.35,43.897683433510366,-100.08947125585888
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,25604040,25.62,42.35,59.36075159783851,25.01346951967388
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4197046,25.62,42.35,10.528384761701911,103.08333472012376
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,11212017,25.62,42.35,40.12399607988535,20.742583178432696
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,206776,25.62,42.35,6.06272746187266,22.727528470146083
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,5767,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,8796,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2671205,25.62,42.35,26.42921218083572,52.86847103284948
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,40844812,25.62,42.35,47.92172048214207,7.866753258497997
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,175300919,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,2978,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1258747,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,89032,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,11377,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,594318,25.62,42.35,,
2018,2018,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,11462827,25.62,42.35,,
