yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Australia and New Zealand,Oceania,267318
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Eastern Asia,Asia,118929
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Eastern Europe,Europe,243265
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern Africa,Africa,54059
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern America,Americas,754030
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern Europe,Europe,74331
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",South-eastern Asia,Asia,1083882
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Southern Europe,Europe,432838
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Sub-Saharan Africa,Africa,608613
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",Western Europe,Europe,5558344
2013,2013,Export,Comoros,9,"Coffee, tea, matΦ and spices",World,World,11848318
