yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,66283764,28.0000272,2.9999825,-16.85099460447687,133.4130365630627
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,73582633,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,49047602,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,5837175,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,24457787,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1145879,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,7480,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,12623388,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,26025,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,46476,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,33007,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,256381446,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;,World,World,492411212,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,840407,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,739620,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,20957,28.0000272,2.9999825,,
2002,2002,Import,Algeria,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,1256762,28.0000272,2.9999825,,
