yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,27759,25.62,42.35,-16.85099460447687,133.4130365630627
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,117174,25.62,42.35,37.977378106878206,73.97804075806764
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,721194,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,116640,25.62,42.35,43.897683433510366,-100.08947125585888
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,3306760,25.62,42.35,10.528384761701911,103.08333472012376
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,63258,25.62,42.35,6.06272746187266,22.727528470146083
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,105430,25.62,42.35,26.42921218083572,52.86847103284948
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,7623512,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,461489,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,39503,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,629376,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,528484,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,282926,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,112103,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,325631,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,74468,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,453215,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,149737,25.62,42.35,,
