yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,3728265,33.87,35.84,37.977378106878206,73.97804075806764
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,718681,33.87,35.84,51.67568633314729,27.673469819741847
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,232855,33.87,35.84,43.897683433510366,-100.08947125585888
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,134402,33.87,35.84,59.36075159783851,25.01346951967388
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,81209,33.87,35.84,10.528384761701911,103.08333472012376
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1801850,33.87,35.84,40.12399607988535,20.742583178432696
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,12646,33.87,35.84,,
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,7053,33.87,35.84,26.42921218083572,52.86847103284948
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3093909,33.87,35.84,47.92172048214207,7.866753258497997
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,10729000,33.87,35.84,,
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,729,33.87,35.84,,
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,310249,33.87,35.84,,
2009,2009,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,54652,33.87,35.84,,
