yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,145875,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,49701667,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,298758,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,10264162,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3061396,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,39096,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,15283602,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,372518,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,2816970,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,21712279,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,146733807,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,5237,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,5719404,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,27852981,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,9259473,31.1728205,-7.3362482,,
