yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1036281,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,9052,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,38486,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,9987,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2671683,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2476814,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,818731,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2627134,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,29456,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,9488,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1209965,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,10963743,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,22307294,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,16482,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,62,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,20288,28.0000272,2.9999825,,
2006,2006,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,98305,28.0000272,2.9999825,,
