yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,30733
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,434956
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,41443
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,4767
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,4602030
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,616334
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1169023
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,64158
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,95727
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,5662776
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,16016
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,6988503
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,546845
2006,2006,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,23383126
