yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Iraq,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,6760,33.0955793,44.1749775,43.897683433510366,-100.08947125585888
2010,2010,Export,Iraq,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,6760,33.0955793,44.1749775,59.36075159783851,25.01346951967388
2010,2010,Export,Iraq,11,Products of the milling industry; malt; starches; inulin,World,World,13520,33.0955793,44.1749775,,
