yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,14000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1135000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,27012000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,24000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,331000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,3168000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6093000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,60000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,18648000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,273000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,30924000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,30554000
2004,2004,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,122598000
