yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2004,2004,Export,Algeria,73,Articles of iron or steel,Eastern Asia,Asia,111
2004,2004,Export,Algeria,73,Articles of iron or steel,Eastern Europe,Europe,386493
2004,2004,Export,Algeria,73,Articles of iron or steel,Northern Africa,Africa,131573
2004,2004,Export,Algeria,73,Articles of iron or steel,Northern America,Americas,72793
2004,2004,Export,Algeria,73,Articles of iron or steel,Northern Europe,Europe,167492
2004,2004,Export,Algeria,73,Articles of iron or steel,South-eastern Asia,Asia,988
2004,2004,Export,Algeria,73,Articles of iron or steel,Southern Europe,Europe,1025006
2004,2004,Export,Algeria,73,Articles of iron or steel,Sub-Saharan Africa,Africa,24175
2004,2004,Export,Algeria,73,Articles of iron or steel,Western Asia,Asia,3541
2004,2004,Export,Algeria,73,Articles of iron or steel,Western Europe,Europe,3667818
2004,2004,Export,Algeria,73,Articles of iron or steel,World,World,5819098
