yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2017,2017,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,4271
2017,2017,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4344
2017,2017,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,13430
2017,2017,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1805
2017,2017,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,23854
