yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,17265,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,19033,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,8213853,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,2276,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,1252895,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,48641,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,10834669,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Djibouti, Djibouti,494613,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,653857,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,8094,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,116458,16.3471243,47.8915271,,
2010,2010,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,1762,16.3471243,47.8915271,,
