yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Export,Armenia,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",513.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2019,2019.0,Export,Armenia,Belarus,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",374.0,,40.7696272,44.6736646,53.4250605,27.6971358
2019,2019.0,Export,Armenia,Georgia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",10.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2019,2019.0,Export,Armenia,Russian Federation,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",128.0,,40.7696272,44.6736646,64.6863136,97.7453061
