yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",30674,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,Brunei Darussalam,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",67,,,,
2016,2016,Import,Comoros,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1771,,,35.000074,104.999927
2016,2016,Import,Comoros,France,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",560,,,46.603354,1.8883335
2016,2016,Import,Comoros,Madagascar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3135,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,Mauritius,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",38,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",529,,,25.6242618,42.3528328
2016,2016,Import,Comoros,India,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4192,,,22.3511148,78.6677428
2016,2016,Import,Comoros,Thailand,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",494,,,14.8971921,100.83273
2016,2016,Import,Comoros,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",15600,,,24.0002488,53.9994829
2016,2016,Import,Comoros,Turkey,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",56,,,38.9597594,34.9249653
2016,2016,Import,Comoros,Egypt,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",370,,,26.2540493,29.2675469
2016,2016,Import,Comoros,United Rep. of Tanzania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3857,,,,
2018,2018,Import,Comoros,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",27462,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,American Samoa,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",192,,,,
2018,2018,Import,Comoros,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4167,,,35.000074,104.999927
2018,2018,Import,Comoros,France,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1157,,,46.603354,1.8883335
2018,2018,Import,Comoros,Madagascar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",529,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,India,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",359,,,22.3511148,78.6677428
2018,2018,Import,Comoros,Thailand,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1196,,,14.8971921,100.83273
2018,2018,Import,Comoros,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",15340,,,24.0002488,53.9994829
2018,2018,Import,Comoros,United Rep. of Tanzania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4518,,,,
2019,2019,Import,Comoros,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",21287,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2177,,,35.000074,104.999927
2019,2019,Import,Comoros,France,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",362,,,46.603354,1.8883335
2019,2019,Import,Comoros,Madagascar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1541,,,-18.9249604,46.4416422
2019,2019,Import,Comoros,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",794,,,25.6242618,42.3528328
2019,2019,Import,Comoros,India,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",454,,,22.3511148,78.6677428
2019,2019,Import,Comoros,Singapore,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1309,,,1.357107,103.8194992
2019,2019,Import,Comoros,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",10794,,,24.0002488,53.9994829
2019,2019,Import,Comoros,United Rep. of Tanzania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3851,,,,
2020,2020,Import,Comoros,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",22604,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",383,,,35.000074,104.999927
2020,2020,Import,Comoros,France,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",324,,,46.603354,1.8883335
2020,2020,Import,Comoros,Kuwait,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",92,,,29.2733964,47.4979476
2020,2020,Import,Comoros,India,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",12413,,,22.3511148,78.6677428
2020,2020,Import,Comoros,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7232,,,24.0002488,53.9994829
2020,2020,Import,Comoros,United Rep. of Tanzania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2157,,,,
