yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,7381,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,9795,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,12554755,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,18165746,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,2244,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Djibouti, Djibouti,796096,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,112684,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,2242,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,4187,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,493973,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,4328,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,1152089,21.0000287,57.0036901,,
2010,2010,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,3025973,21.0000287,57.0036901,,
