yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,155000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,65000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2216000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1156000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,97215000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,17000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,4709000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3847000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,322000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,11307000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,3011000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1798000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,30397000
2004,2004,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,159620000
