yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1306,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2004,2004,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,100889,35.8885993,14.4476911,,
2004,2004,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,46233,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2004,2004,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,154512,35.8885993,14.4476911,,
2004,2004,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,6084,35.8885993,14.4476911,,
