yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,19335,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,48236,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,116959,31.1667049,36.941628,10.528384761701911,103.08333472012376
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,638686,31.1667049,36.941628,6.06272746187266,22.727528470146083
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,131109,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,44191384,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,39029334,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,204237,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Mauritania, Mauritania,706915,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,638686,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,76003,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,1249,31.1667049,36.941628,,
