yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,139167,31.1667049,36.941628,,
2002,2002,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,11066,31.1667049,36.941628,,
2002,2002,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,4200,31.1667049,36.941628,,
