yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,472247,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,1,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,31853696,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,220260,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,105689,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,27135,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,887207,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,17678108,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1541836,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,World,World,54599789,32.3293809,-83.1137366,,
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Azerbaijan, Azerbaijan,1810730,32.3293809,-83.1137366,,
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,2849,32.3293809,-83.1137366,,
2005,2005,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,1,32.3293809,-83.1137366,,
