yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Export,Pakistan,World,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",270854.0,,30.3308401,71.247499,-36.8535712,174.7456809
2014,2014.0,Export,Pakistan,Belgium,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1108.0,,30.3308401,71.247499,50.6402809,4.6667145
2014,2014.0,Export,Pakistan,Bulgaria,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",4126.0,,30.3308401,71.247499,42.6073975,25.4856617
2014,2014.0,Export,Pakistan,Canada,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",96.0,,30.3308401,71.247499,61.0666922,-107.991707
2014,2014.0,Export,Pakistan,China,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1997.0,,30.3308401,71.247499,35.000074,104.999927
2014,2014.0,Export,Pakistan,France,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",67522.0,,30.3308401,71.247499,46.603354,1.8883335
2014,2014.0,Export,Pakistan,Germany,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",26127.0,,30.3308401,71.247499,51.1638175,10.4478313
2014,2014.0,Export,Pakistan,Ireland,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",4047.0,,30.3308401,71.247499,52.865196,-7.9794599
2014,2014.0,Export,Pakistan,Italy,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",5312.0,,30.3308401,71.247499,42.6384261,12.674297
2014,2014.0,Export,Pakistan,Kuwait,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",743.0,,30.3308401,71.247499,29.2733964,47.4979476
2014,2014.0,Export,Pakistan,Liberia,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",2695.0,,30.3308401,71.247499,5.7499721,-9.3658524
2014,2014.0,Export,Pakistan,Oman,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",242.0,,30.3308401,71.247499,21.0000287,57.0036901
2014,2014.0,Export,Pakistan,Netherlands,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1928.0,,30.3308401,71.247499,52.2434979,5.6343227
2014,2014.0,Export,Pakistan,Poland,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",4556.0,,30.3308401,71.247499,52.215933,19.134422
2014,2014.0,Export,Pakistan,Saudi Arabia,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",20272.0,,30.3308401,71.247499,25.6242618,42.3528328
2014,2014.0,Export,Pakistan,South Africa,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",31473.0,,30.3308401,71.247499,-28.8166236,24.991639
2014,2014.0,Export,Pakistan,United Arab Emirates,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",20587.0,,30.3308401,71.247499,24.0002488,53.9994829
2014,2014.0,Export,Pakistan,United Kingdom,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",64215.0,,30.3308401,71.247499,54.7023545,-3.2765753
2014,2014.0,Export,Pakistan,USA,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",13807.0,,30.3308401,71.247499,39.7837304,-100.445882
