yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,59913,31.17,-7.33,-16.85099460447687,133.4130365630627
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2850069,31.17,-7.33,37.977378106878206,73.97804075806764
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1110708,31.17,-7.33,51.67568633314729,27.673469819741847
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,307739,31.17,-7.33,,
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,822284,31.17,-7.33,17.925141963241547,-78.01492950057497
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4804239,31.17,-7.33,43.897683433510366,-100.08947125585888
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,29562141,31.17,-7.33,59.36075159783851,25.01346951967388
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,332128,31.17,-7.33,10.528384761701911,103.08333472012376
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,21567761,31.17,-7.33,40.12399607988535,20.742583178432696
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,6566,31.17,-7.33,6.06272746187266,22.727528470146083
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,377019,31.17,-7.33,,
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,6579585,31.17,-7.33,26.42921218083572,52.86847103284948
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,50127552,31.17,-7.33,47.92172048214207,7.866753258497997
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,118910421,31.17,-7.33,,
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,158,31.17,-7.33,,
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,167,31.17,-7.33,,
2021,2021,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,25045,31.17,-7.33,,
