yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,692534,25.62,42.35,37.977378106878206,73.97804075806764
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1434135,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,289334,25.62,42.35,43.897683433510366,-100.08947125585888
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,380534,25.62,42.35,59.36075159783851,25.01346951967388
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1133601,25.62,42.35,10.528384761701911,103.08333472012376
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2124003,25.62,42.35,25.499703063807168,75.5024015339642
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,10682146,25.62,42.35,40.12399607988535,20.742583178432696
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,2750671,25.62,42.35,6.06272746187266,22.727528470146083
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,40000,25.62,42.35,26.42921218083572,52.86847103284948
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,166368741,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,28564836,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,322134,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,55371269,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,688801,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,8332810,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,28080835,25.62,42.35,,
2002,2002,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,11386681,25.62,42.35,,
