yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,7332,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,13771,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,2814,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,2247,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,5446,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,2540,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1352,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,159475,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,676655,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1346832,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,38154,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,7726,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2005,2005,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,5022236,24.0002488,53.9994829,,
