yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,461968,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,77509,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,11290,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,6859,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,292657,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,521327,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Polynesia,Oceania,511,26.1551249,50.5344606,-5.109184731250752,167.40343615892436
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,754657,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,142374,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,56797,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,8478,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,37096,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,2482156,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,8288630,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,113376,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,5239,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,195343,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,40414,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,35034,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,3003,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,79212,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,357288,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,9253,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,144941,26.1551249,50.5344606,,
2011,2011,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,988918,26.1551249,50.5344606,,
