yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,450897,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,12433,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,382466,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,World,World,3942406,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,19199,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,227063,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,596,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,101762,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,41992,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,3914,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,164571,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,432939,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,1388087,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,275724,29.2733964,47.4979476,,
2008,2008,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,372088,29.2733964,47.4979476,,
