yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,15315,-12.2045176,44.2832964,37.977378106878206,73.97804075806764
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,16138,-12.2045176,44.2832964,51.67568633314729,27.673469819741847
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,23,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,113037,-12.2045176,44.2832964,17.925141963241547,-78.01492950057497
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1887295,-12.2045176,44.2832964,6.06272746187266,22.727528470146083
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,15639,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,330967,-12.2045176,44.2832964,26.42921218083572,52.86847103284948
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3455222,-12.2045176,44.2832964,47.92172048214207,7.866753258497997
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin,World,World,7330750,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin, Mauritania, Mauritania,45776,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,1037566,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,182148,-12.2045176,44.2832964,,
