yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,6284,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,9125,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,115395,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,39654,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,World,World,1114021,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,49428,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,132830,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,1217,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,3864,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,207837,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,12505,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,15490,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,3017,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,227127,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,81722,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,182113,29.2733964,47.4979476,,
