yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Qatar,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",86597,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Qatar,Pakistan,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",42518,25.3336984,51.2295295,30.3308401,71.247499
2016,2016,Export,Qatar,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",44078,25.3336984,51.2295295,24.0002488,53.9994829
