yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,15,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,538,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1082,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1096,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,30745,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,25992,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,3679,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2715,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,1793831,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Azerbaijan, Azerbaijan,2432,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,40663,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,58473,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,304868,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,73295,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,74126,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,83544,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,449226,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,353303,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,6583,34.9823018,33.1451285,,
