yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Import,Algeria,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6981301681.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2014,2014.0,Import,Algeria,Andorra,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",98.0,,28.0000272,2.9999825,42.5407167,1.5732033
2014,2014.0,Import,Algeria,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30017.0,,28.0000272,2.9999825,-11.8775768,17.5691241
2014,2014.0,Import,Algeria,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2947612.0,,28.0000272,2.9999825,-34.9964963,-64.9672817
2014,2014.0,Import,Algeria,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",190082.0,,28.0000272,2.9999825,-24.7761086,134.755
2014,2014.0,Import,Algeria,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7126259.0,,28.0000272,2.9999825,47.59397,14.12456
2014,2014.0,Import,Algeria,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11223.0,,28.0000272,2.9999825,24.4769288,90.2934413
2014,2014.0,Import,Algeria,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22831077.0,,28.0000272,2.9999825,50.6402809,4.6667145
2014,2014.0,Import,Algeria,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",139128.0,,28.0000272,2.9999825,44.3053476,17.5961467
2014,2014.0,Import,Algeria,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",77966520.0,,28.0000272,2.9999825,-10.3333333,-53.2
2014,2014.0,Import,Algeria,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",452645.0,,28.0000272,2.9999825,42.6073975,25.4856617
2014,2014.0,Import,Algeria,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1409661.0,,28.0000272,2.9999825,53.4250605,27.6971358
2014,2014.0,Import,Algeria,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",325.0,,28.0000272,2.9999825,4.6125522,13.1535811
2014,2014.0,Import,Algeria,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2127476.0,,28.0000272,2.9999825,61.0666922,-107.991707
2014,2014.0,Import,Algeria,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4427.0,,28.0000272,2.9999825,7.5554942,80.7137847
2014,2014.0,Import,Algeria,Chile,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44832.0,,28.0000272,2.9999825,-31.7613365,-71.3187697
2014,2014.0,Import,Algeria,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1106202852.0,,28.0000272,2.9999825,35.000074,104.999927
2014,2014.0,Import,Algeria,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4511.0,,28.0000272,2.9999825,4.099917,-72.9088133
2014,2014.0,Import,Algeria,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9.0,,28.0000272,2.9999825,10.2735633,-84.0739102
2014,2014.0,Import,Algeria,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",331736.0,,28.0000272,2.9999825,45.5643442,17.0118954
2014,2014.0,Import,Algeria,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",120822875.0,,28.0000272,2.9999825,49.7439047,15.3381061
2014,2014.0,Import,Algeria,Benin,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",348.0,,28.0000272,2.9999825,9.5293472,2.2584408
2014,2014.0,Import,Algeria,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",609997.0,,28.0000272,2.9999825,55.670249,10.3333283
2014,2014.0,Import,Algeria,Ecuador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",411.0,,28.0000272,2.9999825,-1.3397668,-79.3666965
2014,2014.0,Import,Algeria,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16006.0,,28.0000272,2.9999825,58.7523778,25.3319078
2014,2014.0,Import,Algeria,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",195794.0,,28.0000272,2.9999825,63.2467777,25.9209164
2014,2014.0,Import,Algeria,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",756139603.0,,28.0000272,2.9999825,46.603354,1.8883335
2014,2014.0,Import,Algeria,Gambia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1811.0,,28.0000272,2.9999825,13.470062,-15.4900464
2014,2014.0,Import,Algeria,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",676049909.0,,28.0000272,2.9999825,51.1638175,10.4478313
2014,2014.0,Import,Algeria,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8959002.0,,28.0000272,2.9999825,38.9953683,21.9877132
2014,2014.0,Import,Algeria,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28459.0,,28.0000272,2.9999825,22.350627,114.1849161
2014,2014.0,Import,Algeria,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",43837901.0,,28.0000272,2.9999825,47.1817585,19.5060937
2014,2014.0,Import,Algeria,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14003749.0,,28.0000272,2.9999825,-2.4833826,117.8902853
2014,2014.0,Import,Algeria,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",46.0,,28.0000272,2.9999825,32.6475314,54.5643516
2014,2014.0,Import,Algeria,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2208002.0,,28.0000272,2.9999825,52.865196,-7.9794599
2014,2014.0,Import,Algeria,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",238116612.0,,28.0000272,2.9999825,42.6384261,12.674297
2014,2014.0,Import,Algeria,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",345750900.0,,28.0000272,2.9999825,36.5748441,139.2394179
2014,2014.0,Import,Algeria,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",84354.0,,28.0000272,2.9999825,31.1667049,36.941628
2014,2014.0,Import,Algeria,Dem. People's Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",684790.0,,28.0000272,2.9999825,,
2014,2014.0,Import,Algeria,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",578624663.0,,28.0000272,2.9999825,,
2014,2014.0,Import,Algeria,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",842741.0,,28.0000272,2.9999825,33.8750629,35.843409
2014,2014.0,Import,Algeria,Latvia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4250.0,,28.0000272,2.9999825,56.8406494,24.7537645
2014,2014.0,Import,Algeria,Lithuania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",113804.0,,28.0000272,2.9999825,55.3500003,23.7499997
2014,2014.0,Import,Algeria,Luxembourg,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13353.0,,28.0000272,2.9999825,49.8158683,6.1296751
2014,2014.0,Import,Algeria,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",344390.0,,28.0000272,2.9999825,4.5693754,102.2656823
2014,2014.0,Import,Algeria,Maldives,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22287.0,,28.0000272,2.9999825,3.7203503,73.2244152
2014,2014.0,Import,Algeria,Malta,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13942.0,,28.0000272,2.9999825,35.8885993,14.4476911
2014,2014.0,Import,Algeria,Mexico,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5027271.0,,28.0000272,2.9999825,23.6585116,-102.0077097
2014,2014.0,Import,Algeria,"Other Asia, nes",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7350283.0,,28.0000272,2.9999825,,
2014,2014.0,Import,Algeria,Mongolia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",115.0,,28.0000272,2.9999825,46.8250388,103.8499736
2014,2014.0,Import,Algeria,Morocco,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2172214.0,,28.0000272,2.9999825,31.1728205,-7.3362482
2014,2014.0,Import,Algeria,Netherlands,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",31380122.0,,28.0000272,2.9999825,52.2434979,5.6343227
