yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,18024,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1495,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,21808,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,5486660,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,359354,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,353,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,233,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,246919,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,6500800,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Bahrain, Bahrain,116,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,364506,29.2733964,47.4979476,,
