yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,205357,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,107328,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,526977,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,12524,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,149186,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,41,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5814200,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,114217,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1695733,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2071460,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,8885,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1801828,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,115638,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,203327,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,152874842,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,29518,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,20626,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Armenia, Armenia,2670,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,39918,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,14851649,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,89528,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,5897105,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,36396,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,64276443,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,135564,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,932,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,7404003,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,1507175,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,18509059,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,11490752,24.0002488,53.9994829,,
2005,2005,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,592367,24.0002488,53.9994829,,
