yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2019,2019,Export,Cyprus,41,Raw hides and skins (other than furskins) and leather,Eastern Europe,Europe,166862
2019,2019,Export,Cyprus,41,Raw hides and skins (other than furskins) and leather,Northern Europe,Europe,1279621
2019,2019,Export,Cyprus,41,Raw hides and skins (other than furskins) and leather,Southern Europe,Europe,992983
2019,2019,Export,Cyprus,41,Raw hides and skins (other than furskins) and leather,Western Europe,Europe,1200978
2019,2019,Export,Cyprus,41,Raw hides and skins (other than furskins) and leather,World,World,3799090
