yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,74149826,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1249089,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,3644624,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,4224123,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,19808912,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,65490555,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,11751069,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,6814,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2677236,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,11247,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,198802,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,58311,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,97743744,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,285149515,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,21001,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,2039,31.1728205,-7.3362482,,
