yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1168,33.87,35.84,-16.85099460447687,133.4130365630627
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,2926,33.87,35.84,39.89317229901691,61.060280637304274
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,4230,33.87,35.84,51.67568633314729,27.673469819741847
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,14926,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,130,33.87,35.84,17.925141963241547,-78.01492950057497
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,7926,33.87,35.84,43.897683433510366,-100.08947125585888
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,25806,33.87,35.84,59.36075159783851,25.01346951967388
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,20644,33.87,35.84,25.499703063807168,75.5024015339642
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,18100,33.87,35.84,40.12399607988535,20.742583178432696
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,283324,33.87,35.84,6.06272746187266,22.727528470146083
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,834,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,85568,33.87,35.84,26.42921218083572,52.86847103284948
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,12462,33.87,35.84,47.92172048214207,7.866753258497997
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,630223,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,560,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,3970,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,4436,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,265,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,47638,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,9182,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,8276,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,26749,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,4377,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,3303,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,20543,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,17451,33.87,35.84,,
2008,2008,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,157,33.87,35.84,,
