yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,718162,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,12464,,,40.12399607988535,20.742583178432696
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,511570,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,290341,,,26.42921218083572,52.86847103284948
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,17946266,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,1801872,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,12131111,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,933796,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,548472,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,701395,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,196,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,67611,,,,
2009,2009,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,198082,,,,
