yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Export,Algeria,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",329320.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2015,2015.0,Export,Algeria,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16527.0,,28.0000272,2.9999825,47.59397,14.12456
2015,2015.0,Export,Algeria,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",312.0,,28.0000272,2.9999825,-10.3333333,-53.2
2015,2015.0,Export,Algeria,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19166.0,,28.0000272,2.9999825,61.0666922,-107.991707
2015,2015.0,Export,Algeria,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8128.0,,28.0000272,2.9999825,35.000074,104.999927
2015,2015.0,Export,Algeria,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4652.0,,28.0000272,2.9999825,46.603354,1.8883335
2015,2015.0,Export,Algeria,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78546.0,,28.0000272,2.9999825,51.1638175,10.4478313
2015,2015.0,Export,Algeria,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93.0,,28.0000272,2.9999825,36.5748441,139.2394179
2015,2015.0,Export,Algeria,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",282.0,,28.0000272,2.9999825,,
2015,2015.0,Export,Algeria,Mexico,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19019.0,,28.0000272,2.9999825,23.6585116,-102.0077097
2015,2015.0,Export,Algeria,"Other Asia, nes",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",158.0,,28.0000272,2.9999825,,
2015,2015.0,Export,Algeria,India,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",134.0,,28.0000272,2.9999825,22.3511148,78.6677428
2015,2015.0,Export,Algeria,Spain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",60.0,,28.0000272,2.9999825,39.3260685,-4.8379791
2015,2015.0,Export,Algeria,Sweden,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2505.0,,28.0000272,2.9999825,59.6749712,14.5208584
2015,2015.0,Export,Algeria,Thailand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",330.0,,28.0000272,2.9999825,14.8971921,100.83273
2015,2015.0,Export,Algeria,Tunisia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4334.0,,28.0000272,2.9999825,33.8439408,9.400138
2015,2015.0,Export,Algeria,Egypt,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",65956.0,,28.0000272,2.9999825,26.2540493,29.2675469
2015,2015.0,Export,Algeria,USA,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",109116.0,,28.0000272,2.9999825,39.7837304,-100.445882
