yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,363471,,,37.977378106878206,73.97804075806764
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,293103,,,51.67568633314729,27.673469819741847
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,345100,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,3519713,,,17.925141963241547,-78.01492950057497
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,146465,,,43.897683433510366,-100.08947125585888
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,509333,,,59.36075159783851,25.01346951967388
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1043205,,,10.528384761701911,103.08333472012376
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,4169850,,,40.12399607988535,20.742583178432696
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,21256,,,6.06272746187266,22.727528470146083
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,447430,,,26.42921218083572,52.86847103284948
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,15197542,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,3920,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,6139,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,1050341,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,89188,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,18491,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,1739269,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,22914,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,4268,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,84108,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,10019,,,,
2006,2006,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,6186,,,,
