yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,70952,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,5122560,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,4405151,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,2731893,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,2040523,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,5676940,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,648205,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,12697185,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,538807,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,6349146,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2016,2016,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,45820251,38.9597594,34.9249653,,
