yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,23304,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,717438,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,6356,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1289,32.3293809,-83.1137366,17.925141963241547,-78.01492950057497
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Micronesia,Oceania,113,32.3293809,-83.1137366,6.418559504495792,157.6364476938912
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,108332,32.3293809,-83.1137366,19.569604022535763,12.47761721199581
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1161,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,579,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,208997,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1122339,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1058,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,335830,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,538,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2005,2005,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,World,World,2625462,32.3293809,-83.1137366,,
