yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,77611,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,846,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,47519,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,34859,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,45660,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,21718,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,6,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,5557658,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Afghanistan, Afghanistan,40758,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,158638,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,196890,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,1253300,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,231390,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,325044,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,298454,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1485127,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,1326615,34.9823018,33.1451285,,
2008,2008,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,13213,34.9823018,33.1451285,,
