yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,116087,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,357558,,,-36.8535712,174.7456809
2020,2020,Re-Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,308955,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,16439,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,719165,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,1578207,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,1401263,,,-36.8535712,174.7456809
2020,2020,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,1443828,,,-36.8535712,174.7456809
2021,2021,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,1723014,,,-36.8535712,174.7456809
2016,2016,Re-Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,342354,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Re-Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,286418,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Re-Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,218933,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Re-Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,969983,,,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,5061887,,,-36.8535712,174.7456809
2020,2020,Re-Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,2351999,,,-36.8535712,174.7456809
