yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,28,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,12256,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,80286,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,14692,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,43608,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,168109,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,3879115,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,25257,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,81530,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,689153,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,155954,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,6058,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,323791,34.9823018,33.1451285,,
2010,2010,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,2278379,34.9823018,33.1451285,,
