yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,46781,31.17,-7.33,37.977378106878206,73.97804075806764
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,181551,31.17,-7.33,51.67568633314729,27.673469819741847
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,66131,31.17,-7.33,17.925141963241547,-78.01492950057497
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,512127,31.17,-7.33,43.897683433510366,-100.08947125585888
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1813928,31.17,-7.33,59.36075159783851,25.01346951967388
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1871,31.17,-7.33,10.528384761701911,103.08333472012376
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2008898,31.17,-7.33,40.12399607988535,20.742583178432696
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,56853,31.17,-7.33,6.06272746187266,22.727528470146083
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,356140,31.17,-7.33,26.42921218083572,52.86847103284948
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,8264832,31.17,-7.33,47.92172048214207,7.866753258497997
2011,2011,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,13310245,31.17,-7.33,,
