yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,28684,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,1017865,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,448301,20.2540382,-9.2399263,17.925141963241547,-78.01492950057497
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,30855,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,5134,20.2540382,-9.2399263,10.528384761701911,103.08333472012376
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,560146,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,5737,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,807004,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,2557627,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,2552281,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,8380723,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Algeria, Algeria,1459,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,14342,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Morocco, Morocco,150628,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,19107,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,14342,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,167211,20.2540382,-9.2399263,,
