yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2020,2020.0,Export,Oman,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11366646.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2020,2020.0,Export,Oman,Azerbaijan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",213.0,,21.0000287,57.0036901,40.3936294,47.7872508
2020,2020.0,Export,Oman,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27310.0,,21.0000287,57.0036901,-24.7761086,134.755
2020,2020.0,Export,Oman,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2957.0,,21.0000287,57.0036901,47.59397,14.12456
2020,2020.0,Export,Oman,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",53888.0,,21.0000287,57.0036901,26.1551249,50.5344606
2020,2020.0,Export,Oman,Bangladesh,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3742.0,,21.0000287,57.0036901,24.4769288,90.2934413
2020,2020.0,Export,Oman,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",70026.0,,21.0000287,57.0036901,50.6402809,4.6667145
2020,2020.0,Export,Oman,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10569.0,,21.0000287,57.0036901,61.0666922,-107.991707
2020,2020.0,Export,Oman,Colombia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7945.0,,21.0000287,57.0036901,4.099917,-72.9088133
2020,2020.0,Export,Oman,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",18023.0,,21.0000287,57.0036901,55.670249,10.3333283
2020,2020.0,Export,Oman,Ecuador,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4452.0,,21.0000287,57.0036901,-1.3397668,-79.3666965
2020,2020.0,Export,Oman,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",324444.0,,21.0000287,57.0036901,46.603354,1.8883335
2020,2020.0,Export,Oman,Georgia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",44.0,,21.0000287,57.0036901,32.3293809,-83.1137366
