yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,2295129,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,12391539,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,375690,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,25562,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,797,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,50456,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,89790,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,14990,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,6799,40.7696272,44.6736646,6.06272746187266,22.727528470146083
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,91835,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,100503,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,15450394,40.7696272,44.6736646,,
2011,2011,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Georgia, Georgia,1900,40.7696272,44.6736646,,
