yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,13311,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,370322,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,81688,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,31416,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,43639,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,148963,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,997900,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3281,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,4985553,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,24190,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2162967,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9294258,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,237290,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,8426,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,19178,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,39,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1577,34.9823018,33.1451285,,
