yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,272750,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,814363,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,2528,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,5234,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,503721,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1520,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,366836,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,1079,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2020656,40.7696272,44.6736646,,
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,25276,40.7696272,44.6736646,,
2015,2015,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,2156,40.7696272,44.6736646,,
