yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,719689,26.82,18.12,37.977378106878206,73.97804075806764
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,4063398,26.82,18.12,51.67568633314729,27.673469819741847
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,630073,26.82,18.12,,
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,3795814,26.82,18.12,17.925141963241547,-78.01492950057497
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,85358,26.82,18.12,43.897683433510366,-100.08947125585888
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,3464725,26.82,18.12,59.36075159783851,25.01346951967388
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1844,26.82,18.12,10.528384761701911,103.08333472012376
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,15314595,26.82,18.12,40.12399607988535,20.742583178432696
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,161406,26.82,18.12,,
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,19126703,26.82,18.12,26.42921218083572,52.86847103284948
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,32222983,26.82,18.12,47.92172048214207,7.866753258497997
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,World,World,79776304,26.82,18.12,,
2009,2009,Import,Libya,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,8007,26.82,18.12,,
