yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,8,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,242857,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,435163,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,253417,16.3471243,47.8915271,,
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2847,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,189914,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,237579,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,8006,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,6057,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,340181,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,7410,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,8898,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,554653,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3422387,16.3471243,47.8915271,,
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,12492,16.3471243,47.8915271,,
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,11380,16.3471243,47.8915271,,
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,624668,16.3471243,47.8915271,,
2006,2006,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,115467,16.3471243,47.8915271,,
