yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,9982870,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,2158369,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,14378,38.9597594,34.9249653,,
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,1147407,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,2287590,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,4307489,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,1201050,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,153751,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,2410894,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,235134,38.9597594,34.9249653,,
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,4070735,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,34522371,38.9597594,34.9249653,,
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,231576,38.9597594,34.9249653,,
2008,2008,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,385000,38.9597594,34.9249653,,
