yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1522461,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,53555,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1452643,30.3308401,71.247499,51.67568633314729,27.673469819741847
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,576806,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,379357,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1844268,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,578360,30.3308401,71.247499,10.528384761701911,103.08333472012376
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,93958,30.3308401,71.247499,25.499703063807168,75.5024015339642
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,117820,30.3308401,71.247499,40.12399607988535,20.742583178432696
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,145543,30.3308401,71.247499,26.42921218083572,52.86847103284948
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,5623172,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,World,World,12736778,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,9603,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,294153,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,29466,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,923,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,6920,30.3308401,71.247499,,
2004,2004,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,7766,30.3308401,71.247499,,
