yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,82762,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2498896,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,22138,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,170123,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,115394,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1090575,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,201111,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,58968,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,15931280,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1323013,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,324325,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2008,2008,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,114748548,21.0000287,57.0036901,,
