yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1227258,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,304545,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,9845,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,826198,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1293556,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,137139,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,36588,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,307700,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,70774,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,352520,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7536019,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,23651,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,9919,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,4902,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1509030,16.3471243,47.8915271,,
2013,2013,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,179790,16.3471243,47.8915271,,
