yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,1536602,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,6120561,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,368912,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,23773,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,12491,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,328415,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,8145,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,735,40.7696272,44.6736646,6.06272746187266,22.727528470146083
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1672,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,114726,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,8600136,40.7696272,44.6736646,,
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Afghanistan, Afghanistan,1270,40.7696272,44.6736646,,
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Georgia, Georgia,29210,40.7696272,44.6736646,,
2010,2010,Import,Armenia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,129,40.7696272,44.6736646,,
