yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,192141,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,15207734,30.3308401,71.247499,37.977378106878206,73.97804075806764
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,205311,30.3308401,71.247499,51.67568633314729,27.673469819741847
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,40631,30.3308401,71.247499,,
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,445078,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3813069,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,6971800,30.3308401,71.247499,59.36075159783851,25.01346951967388
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,6050699,30.3308401,71.247499,10.528384761701911,103.08333472012376
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,71230,30.3308401,71.247499,25.499703063807168,75.5024015339642
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1771687,30.3308401,71.247499,40.12399607988535,20.742583178432696
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,138347,30.3308401,71.247499,6.06272746187266,22.727528470146083
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1198916,30.3308401,71.247499,26.42921218083572,52.86847103284948
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6416860,30.3308401,71.247499,47.92172048214207,7.866753258497997
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,49830482,30.3308401,71.247499,,
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,187700,30.3308401,71.247499,,
2015,2015,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,317974,30.3308401,71.247499,,
