yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6062626,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,Sri Lanka,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,79299,25.3336984,51.2295295,7.5554942,80.7137847
2019,2019,Import,Qatar,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,283654,25.3336984,51.2295295,35.000074,104.999927
2019,2019,Import,Qatar,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,129128,25.3336984,51.2295295,46.603354,1.8883335
2019,2019,Import,Qatar,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,214117,25.3336984,51.2295295,51.1638175,10.4478313
2019,2019,Import,Qatar,Ireland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,14194,25.3336984,51.2295295,52.865196,-7.9794599
2019,2019,Import,Qatar,Italy,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,42124,25.3336984,51.2295295,42.6384261,12.674297
2019,2019,Import,Qatar,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,31353,25.3336984,51.2295295,29.2733964,47.4979476
2019,2019,Import,Qatar,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1683186,25.3336984,51.2295295,21.0000287,57.0036901
2019,2019,Import,Qatar,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,347170,25.3336984,51.2295295,52.2434979,5.6343227
2019,2019,Import,Qatar,Slovakia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,17212,25.3336984,51.2295295,48.7411522,19.4528646
2019,2019,Import,Qatar,Spain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,166683,25.3336984,51.2295295,39.3260685,-4.8379791
2019,2019,Import,Qatar,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,216562,25.3336984,51.2295295,59.6749712,14.5208584
2019,2019,Import,Qatar,Switzerland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,68939,25.3336984,51.2295295,46.7985624,8.2319736
2019,2019,Import,Qatar,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1277264,25.3336984,51.2295295,38.9597594,34.9249653
2019,2019,Import,Qatar,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1491735,25.3336984,51.2295295,,
